Sigma_theta_kg_m_pow_minus_3,predict
25.523,25.284514185676972
26.988,26.015116334955465
27.275,27.277446346928162
27.002,27.717881401424766
26.187,26.14888850088054
24.437,24.968259090854136
27.201,27.34504156655849
27.526,27.643312649959267
27.705,27.584453607892364
25.549,25.63687652583009
26.699,26.96515539183347
27.076,26.986853152855186
26.382,26.424114200907297
26.572,26.600611427832163
26.238,26.067074407617273
27.378,27.28573129725093
27.781,27.623766098623314
27.311,27.6812811348596
26.362,26.643011695473955
25.157,25.400387605462615
27.098,26.977559555569165
27.747,27.707253738539453
27.754,27.71588260029297
27.525,27.623301579044192
27.748,27.6478222200678
27.49,27.59463830454433
25.285,25.2531021893821
27.727,27.715065925148476
27.606,27.31710427131688
26.088,26.16379275515591
26.883,26.918543928547628
27.222,27.642701162264636
25.634,25.749178541779973
25.372,25.368302979784605
27.249,27.381509544664173
27.738,27.538649844825315
27.151,27.502953158215387
26.043,25.848546811775776
27.164,27.17844749014553
26.106,26.18660295881147
27.772,27.693401691392836
25.905,26.206942173246258
24.797,25.45491777259381
25.773,26.140451130598834
27.003,27.01842653637881
25.741,25.70930911949705
26.359,26.80833499056773
27.738,27.701196025952818
26.84,26.799839488446256
27.224,27.562200050916516
27.758,27.711615971880846
25.554,25.674464753445584
27.784,27.717647091911253
25.358,25.320090732268657
26.986,26.278382617235366
25.818,25.832805303199624
27.538,27.672101893929984
25.624,25.503958266989574
26.909,27.506664211667427
26.997,26.08645873294461
26.299,26.374595912493284
26.043,26.010308260994577
26.156,26.31171122816968
26.351,26.146632247189167
27.286,27.642869743119977
27.612,27.61870569086984
27.609,27.68560678916709
24.864,24.838418571235163
25.979,25.851870677488595
27.587,27.71434024457967
26.011,26.089206420260954
25.3,25.621450192617466
27.755,27.71569263875271
27.1,27.320284963023557
25.417,25.203899794408873
24.783,24.863390227147818
27.725,27.549308772849738
26.349,26.69163527631478
26.311,26.212958268040275
24.838,24.900863822873603
25.633,25.743804524368937
27.749,27.717546237744035
26.924,26.73617222520879
26.919,26.890194570670893
27.628,27.496793183743446
27.195,27.215139099136014
26.167,26.260399942575248
27.776,27.677890979472785
25.594,25.712418097439123
27.125,27.127857277393904
27.15,27.045088687671694
27.15,27.44806042569248
27.693,27.616535276733988
25.691,25.541849887331818
27.719,27.712265647997476
26.721,26.861973013870532
25.633,25.69727562062939
27.529,27.713164732531652
25.804,25.903451367659947
26.747,27.215415664517987
27.655,27.580470930661594
25.978,26.067751353607765
26.846,27.04455906822889
27.301,27.69886280493451
27.565,27.67383227572619
24.598,25.67794113453007
27.424,27.693028714665424
27.739,27.714831801076066
24.927,25.43524296767112
27.764,27.714051866233035
26.936,26.723607770507595
26.177,26.01742802278333
26.217,26.240526127623053
25.044,25.114989865528354
27.236,27.70467820991443
26.206,26.23875037934129
27.766,27.4942691139516
27.77,27.710174104313918
25.288,25.701020300185878
25.614,25.687656922422065
27.057,27.472178174025196
27.802,27.64431056164189
27.207,27.253955559091757
27.114,27.033946792511678
27.709,27.678379390420755
27.098,26.974520885724097
27.7,27.605830321372625
26.926,26.861924265987124
26.318,26.550139647762716
27.749,27.716853265372546
25.293,25.334314208914428
24.802,25.074335592233595
26.198,25.948065082486895
27.797,27.66108245489874
27.028,27.00725991609258
27.744,27.710204264389045
27.132,27.056869922957226
24.854,25.12367214005096
25.071,25.15206047511863
25.56,25.657727091055918
26.908,26.796521660052452
27.693,27.58536270744012
25.337,25.34251521472661
27.762,27.715107368685068
27.526,27.646691928158674
26.904,27.514131180834145
27.695,27.71723569701534
27.726,27.717587306661503
27.254,27.544197545130512
27.395,27.687289571287355
27.581,27.479574181382656
27.703,27.501671329130453
27.009,27.162202865055864
27.067,26.44571958791454
27.775,27.614612799422474
26.912,26.767101366239444
25.375,25.339170013166314
27.647,27.709365544519077
26.448,26.443106126456154
27.127,27.604446919544614
26.972,26.924060023072034
26.822,27.316301603402394
27.782,27.682619615649184
24.879,24.90527072145135
27.446,27.307671971252173
27.226,27.426145827779607
26.824,26.04551548477306
27.093,27.044638937547333
24.598,25.68441246681099
25.656,25.91497017727747
26.46,26.53647021622695
27.666,27.592400513016518
27.323,27.703543822697455
27.754,27.710851169193905
27.124,27.71711900935566
27.001,27.179835709914606
24.788,24.97736556719845
26.169,26.12503665541209
26.488,26.41105891123173
25.239,25.18808951856332
25.452,25.824626709363514
27.813,27.644408869257656
26.985,26.924447885473437
27.028,27.03146691582399
27.062,27.01895248926779
26.67,27.01942966614685
27.106,27.00174601051913
27.76,27.67217470830247
27.606,27.62880882859567
27.708,27.56434962299706
26.91,26.75495761063079
24.788,25.140490245716506
26.977,26.926673593604658
27.144,27.03879158875277
25.862,25.93827900645358
24.807,25.08386638147966
27.1,27.06491551791045
25.228,25.622300946161232
27.782,27.553544845597663
24.995,24.874460853026815
27.777,27.712430930245706
27.404,27.707877000491823
25.974,26.215366779851824
27.793,27.62981161868077
27.754,27.62927769314003
27.746,27.706999326402105
27.64,27.603560884341796
27.198,27.257208330949222
25.454,25.326735310168715
27.764,27.707872543756118
26.913,26.766846984395116
26.22,26.291313893372983
25.54,25.632565006539927
26.986,27.180231191296738
24.839,24.926848651645667
27.834,27.65319040362971
27.781,27.694645490640994
27.776,27.64358655200287
27.719,27.550800976285498
27.069,27.02908722883342
27.615,27.47701674203337
27.804,27.64197812254236
24.86,24.93725703902443
25.659,25.780828054792476
25.602,25.59086440267179
27.226,27.158855902276198
27.688,27.555984381287736
27.748,27.682770693709607
27.556,27.426954028543243
27.19,27.24075905221526
26.66,26.938441104692508
26.284,26.281388331712332
27.02,27.100929893057423
27.784,27.717909582398736
27.513,27.636955736472277
27.125,27.03436002983859
27.055,27.71254959563205
25.108,25.314576092193292
27.548,27.58781622446827
26.335,26.62405975883174
26.978,26.995555999823114
27.283,27.71635016863864
27.821,27.71308772179366
25.557,25.596754495383028
25.73,25.558334012290263
27.588,27.46276483627624
27.708,27.531366029635578
26.054,26.083780272301098
27.808,27.681055784746437
26.262,26.092161538995278
27.795,27.71788571622926
25.29,25.346689406968128
27.679,27.709981561590162
27.087,27.003157545037197
27.259,27.51784620329265
27.166,27.15611766679395
26.89,27.43967519124553
27.618,27.50529744445011
24.877,24.97165680394716
26.755,27.0277917463124
27.797,27.71552536499898
27.256,27.69468214233448
27.134,27.059745072259734
27.749,27.71596272102232
26.034,26.064862218922386
24.781,24.840702331322554
27.103,27.053842185238967
27.678,27.714444939290594
26.539,26.576101182013463
27.754,27.7181146988091
27.775,27.71717470955198
27.737,27.713715220334713
27.75,27.7153662333254
27.56,27.608808477011124
26.003,26.043017636735257
27.701,27.649359496853823
27.741,27.70639076019473
27.548,27.407241096843403
27.294,27.499222054113886
27.08,27.708853374214463
27.116,27.01007218669742
24.626,25.133339038051396
27.226,27.68007887219247
27.125,27.074606035278073
25.232,25.542829619188975
25.142,25.350515194040884
26.005,26.04722336432005
27.734,27.704416418990633
26.921,26.790225886841018
27.429,27.659185818013913
25.611,25.673873935021557
24.997,25.43157068317081
27.35,27.65420456850962
27.627,27.509373551992393
25.557,25.4945665566112
26.605,26.639357029391356
26.87,27.46943513643368
27.816,27.65952831472218
27.022,26.943165693665083
27.69,27.681133683678347
27.721,27.71678285342974
26.936,26.890804098776858
26.696,26.813619787268244
27.69,27.717100027143555
27.047,26.958131797996547
26.92,26.863772622063518
27.172,27.19878963741265
26.032,26.413657867415495
27.256,27.570585198743345
25.722,25.763875151109836
27.153,27.03868104957001
27.752,27.71617827553532
27.843,27.653765804577304
27.324,27.488803083118743
26.58,26.737245555088798
24.949,24.86163029372555
25.98,25.802013593171434
27.742,27.717859639726463
27.686,27.547052538045424
27.161,27.08737898288824
26.777,27.23822911160397
27.265,27.584577735682732
27.82,27.7090460594085
26.089,26.29540326058887
27.757,27.717244971338822
27.798,27.665048234017956
24.756,25.003367123912465
27.096,27.015382466398112
27.551,27.407164618652477
27.753,27.71780529551809
24.79,25.06771870658674
27.72,27.58102442510923
27.011,26.98115910055597
27.454,27.55810924488261
27.548,27.414526006248526
27.09,27.014571311656148
26.92,26.769240117184875
27.114,27.463835732418975
27.704,27.611107854510134
27.488,27.70369851129146
25.798,25.493171452326195
27.044,26.990918658513962
26.942,27.07711690535171
27.755,27.716711347029985
27.68,27.561979631100293
25.307,24.866132053537036
27.667,27.708512951444646
25.633,25.728493695253732
27.108,26.99114759973255
27.172,27.19932484055325
26.102,26.309080647576508
27.747,27.71419451749648
27.796,27.65715657745133
26.937,27.668621736458654
27.636,27.496403028055873
25.837,25.826311274351337
25.793,25.63309861290337
26.915,26.934818469211628
25.92,25.79094720135911
24.751,25.109528584496324
26.953,26.927559961196742
27.612,27.70368626750281
25.256,25.352053501921592
27.039,27.04136589838945
27.72,27.523915743076873
27.132,27.261834944998945
26.465,26.884229485564962
26.816,26.963829677067892
27.472,27.62558919810078
26.132,25.972659290452757
24.809,25.088307618090283
27.075,26.982302242328124
27.548,27.39477889905557
25.53,25.05471232081375
27.746,27.690675171881026
26.657,26.919779398116056
25.963,26.257965375091874
25.567,25.482897971302464
26.86,27.04223737657112
27.096,27.026222373671388
27.606,27.31210906020391
27.775,27.67227291170506
25.942,25.980226662304403
27.679,27.595409741327376
25.607,25.58736829449387
27.129,27.105920684326442
27.264,27.51566985833014
27.036,27.057385808163662
27.704,27.57753023785624
27.125,27.318472775095906
27.725,27.55922667134612
27.06,27.01380679870333
27.72,27.668010789034703
27.487,27.333219626299396
27.719,27.552511296356446
27.178,27.278030031607877
27.638,27.689654413174186
27.741,27.660138344694023
27.58,27.709982081929414
27.115,27.089371101543474
27.72,27.67088433843476
27.175,27.18515920809398
27.531,27.619961280978533
27.508,27.67971692462861
27.207,27.237436006416548
27.165,27.181892616248547
27.77,27.700133810006104
27.695,27.59285035810488
27.806,27.718076116303248
